,title,salary,jobtype,location,description,company
1456,Senior Statistical Programmer (Sr. Associate),"$70,700 - $117,900 a year",,"Collegeville, PA",Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,Pfizer
1457,Healthcare Analyst/Statistical Programmer,"$90,000 - $130,000 a year",,Remote,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Institute for Accountable Care
1458,Principal Data Scientist (open to remote),,,"Richmond, VA",To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,Mission Lane
1459,Director of Data & Analytics,,,Remote +1 location,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Owlet Baby Care
1460,Jr. Data Scientist,,,"Columbus, OH","Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…",Abercrombie and Fitch Co.
1461,Staff Data Scientist,,,"Seattle, WA",Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,The Walt Disney Company (Corporate)
1462,Global Head Search and Marketing Returns Analytics,,,"Alpharetta, GA",Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,HP
1463,Technology Analyst Program - Quality Assurance Testing,,,"Alpharetta, GA",Fiserv's Technology Analyst Program is an early career development program where candidates experience two one-year assignments in a core functional technology…,"Fiserv, Inc."
1464,Research Assistant/Data Analyst,$26 - $50 an hour,,"Santa Monica, CA","Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. ONLY SERIOUS INQUIRIES WITH EXPERIENCE.",Institute of Neuro Innovation
1465,Data QA Analyst,,,"Whippany, NJ",Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,GalaxE.Solutions
1466,Senior Manager Data Science,,,"Portland, OR",Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,Adidas
1467,Senior Statistical Programmer (Sr. Associate),"$70,700 - $117,900 a year",,"Collegeville, PA",Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,Pfizer
1468,Healthcare Analyst/Statistical Programmer,"$90,000 - $130,000 a year",,Remote,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Institute for Accountable Care
1469,Principal Data Scientist (open to remote),,,"Richmond, VA","A low-ego, respectful, data science team committed to solving practical problems together. To use distributed computing systems like Spark and Snowflake to…",Mission Lane
1470,Director of Data & Analytics,,,Remote +1 location,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Owlet Baby Care
1471,Jr. Data Scientist,,,"Columbus, OH","Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…",Abercrombie and Fitch Co.
1472,Staff Data Scientist,,,"Seattle, WA",Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,The Walt Disney Company (Corporate)
1473,Global Head Search and Marketing Returns Analytics,,,"Alpharetta, GA",Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,HP
1474,Technology Analyst Program - Quality Assurance Testing,,,"Alpharetta, GA",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Fiserv, Inc."
1475,Research Assistant/Data Analyst,$26 - $50 an hour,,"Santa Monica, CA","Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Institute of Neuro Innovation
1476,Data QA Analyst,,,"Whippany, NJ",Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,GalaxE.Solutions
1477,Senior Manager Data Science,,,"Portland, OR",Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,Adidas
1478,Senior Statistical Programmer (Sr. Associate),"$70,700 - $117,900 a year",,"Collegeville, PA",Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,Pfizer
1479,Healthcare Analyst/Statistical Programmer,"$90,000 - $130,000 a year",,Remote,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Institute for Accountable Care
1480,Principal Data Scientist (open to remote),,,"Richmond, VA",To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,Mission Lane
1481,Director of Data & Analytics,,,Remote +1 location,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Owlet Baby Care
1482,Jr. Data Scientist,,,"Columbus, OH","Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…",Abercrombie and Fitch Co.
1483,Staff Data Scientist,,,"Seattle, WA",Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,The Walt Disney Company (Corporate)
1484,Global Head Search and Marketing Returns Analytics,,,"Alpharetta, GA",Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,HP
1485,Technology Analyst Program - Quality Assurance Testing,,,"Alpharetta, GA",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Fiserv, Inc."
1486,Research Assistant/Data Analyst,$26 - $50 an hour,,"Santa Monica, CA","Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Institute of Neuro Innovation
1487,Data QA Analyst,,,"Whippany, NJ",Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,GalaxE.Solutions
1488,Senior Manager Data Science,,,"Portland, OR",Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,Adidas
1489,Senior Statistical Programmer (Sr. Associate),"$70,700 - $117,900 a year",,"Collegeville, PA",Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,Pfizer
1490,Healthcare Analyst/Statistical Programmer,"$90,000 - $130,000 a year",,Remote,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Institute for Accountable Care
1491,Principal Data Scientist (open to remote),,,"Richmond, VA",To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,Mission Lane
1492,Director of Data & Analytics,,,Remote +1 location,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Owlet Baby Care
1493,Jr. Data Scientist,,,"Columbus, OH","Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…",Abercrombie and Fitch Co.
1494,Staff Data Scientist,,,"Seattle, WA",Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,The Walt Disney Company (Corporate)
1495,Global Head Search and Marketing Returns Analytics,,,"Alpharetta, GA",Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,HP
1496,Technology Analyst Program - Quality Assurance Testing,,,"Alpharetta, GA",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Fiserv, Inc."
1497,Research Assistant/Data Analyst,$26 - $50 an hour,,"Santa Monica, CA","Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Institute of Neuro Innovation
1498,Data QA Analyst,,,"Whippany, NJ",Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,GalaxE.Solutions
1499,Senior Manager Data Science,,,"Portland, OR",Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,Adidas
1500,Senior Statistical Programmer (Sr. Associate),"$70,700 - $117,900 a year",,"Collegeville, PA",Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,Pfizer
1501,Healthcare Analyst/Statistical Programmer,"$90,000 - $130,000 a year",,Remote,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Institute for Accountable Care
1502,Principal Data Scientist (open to remote),,,"Richmond, VA",To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,Mission Lane
1503,Director of Data & Analytics,,,Remote +1 location,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Owlet Baby Care
1504,Jr. Data Scientist,,,"Columbus, OH","Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…",Abercrombie and Fitch Co.
1505,Staff Data Scientist,,,"Seattle, WA",Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,The Walt Disney Company (Corporate)
1506,Global Head Search and Marketing Returns Analytics,,,"Alpharetta, GA",Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,HP
1507,Technology Analyst Program - Quality Assurance Testing,,,"Alpharetta, GA",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Fiserv, Inc."
1508,Research Assistant/Data Analyst,$26 - $50 an hour,,"Santa Monica, CA","Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Institute of Neuro Innovation
1509,Data QA Analyst,,,"Whippany, NJ",Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,GalaxE.Solutions
1510,Senior Manager Data Science,,,"Portland, OR",Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,Adidas
1511,Senior Statistical Programmer (Sr. Associate),"$70,700 - $117,900 a year",,"Collegeville, PA",Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,Pfizer
1512,Healthcare Analyst/Statistical Programmer,"$90,000 - $130,000 a year",,Remote,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Institute for Accountable Care
1513,Principal Data Scientist (open to remote),,,"Richmond, VA",To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,Mission Lane
1514,Director of Data & Analytics,,,Remote +1 location,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Owlet Baby Care
1515,Jr. Data Scientist,,,"Columbus, OH","Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…",Abercrombie and Fitch Co.
1516,Staff Data Scientist,,,"Seattle, WA",Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,The Walt Disney Company (Corporate)
1517,Global Head Search and Marketing Returns Analytics,,,"Alpharetta, GA",Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,HP
1518,Technology Analyst Program - Quality Assurance Testing,,,"Alpharetta, GA",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Fiserv, Inc."
1519,Research Assistant/Data Analyst,$26 - $50 an hour,,"Santa Monica, CA","Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Institute of Neuro Innovation
1520,Data QA Analyst,,,"Whippany, NJ",Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,GalaxE.Solutions
1521,Senior Manager Data Science,,,"Portland, OR",Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,Adidas
1522,Senior Statistical Programmer (Sr. Associate),"$70,700 - $117,900 a year",,"Collegeville, PA",Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,Pfizer
1523,Healthcare Analyst/Statistical Programmer,"$90,000 - $130,000 a year",,Remote,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Institute for Accountable Care
1524,Principal Data Scientist (open to remote),,,"Richmond, VA",To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,Mission Lane
1525,Director of Data & Analytics,,,Remote +1 location,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Owlet Baby Care
1526,Jr. Data Scientist,,,"Columbus, OH","Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…",Abercrombie and Fitch Co.
1527,Staff Data Scientist,,,"Seattle, WA",Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,The Walt Disney Company (Corporate)
1528,Global Head Search and Marketing Returns Analytics,,,"Alpharetta, GA",Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,HP
1529,Technology Analyst Program - Quality Assurance Testing,,,"Alpharetta, GA",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Fiserv, Inc."
1530,Research Assistant/Data Analyst,$26 - $50 an hour,,"Santa Monica, CA","Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Institute of Neuro Innovation
1531,Data QA Analyst,,,"Whippany, NJ",Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,GalaxE.Solutions
1532,Senior Manager Data Science,,,"Portland, OR",Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,Adidas
1533,Senior Statistical Programmer (Sr. Associate),"$70,700 - $117,900 a year",,"Collegeville, PA",Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,Pfizer
1534,Healthcare Analyst/Statistical Programmer,"$90,000 - $130,000 a year",,Remote,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Institute for Accountable Care
1535,Principal Data Scientist (open to remote),,,"Richmond, VA",To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,Mission Lane
1536,Director of Data & Analytics,,,Remote +1 location,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Owlet Baby Care
1537,Jr. Data Scientist,,,"Columbus, OH","Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…",Abercrombie and Fitch Co.
1538,Staff Data Scientist,,,"Seattle, WA",Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,The Walt Disney Company (Corporate)
1539,Global Head Search and Marketing Returns Analytics,,,"Alpharetta, GA",Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,HP
1540,Technology Analyst Program - Quality Assurance Testing,,,"Alpharetta, GA",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Fiserv, Inc."
1541,Research Assistant/Data Analyst,$26 - $50 an hour,,"Santa Monica, CA","Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Institute of Neuro Innovation
1542,Data QA Analyst,,,"Whippany, NJ",Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,GalaxE.Solutions
1543,Senior Manager Data Science,,,"Portland, OR",Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,Adidas
1544,Senior Statistical Programmer (Sr. Associate),"$70,700 - $117,900 a year",,"Collegeville, PA",Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,Pfizer
1545,Healthcare Analyst/Statistical Programmer,"$90,000 - $130,000 a year",,Remote,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Institute for Accountable Care
1546,Principal Data Scientist (open to remote),,,"Richmond, VA",To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,Mission Lane
1547,Director of Data & Analytics,,,Remote +1 location,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Owlet Baby Care
1548,Jr. Data Scientist,,,"Columbus, OH","Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…",Abercrombie and Fitch Co.
1549,Staff Data Scientist,,,"Seattle, WA",Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,The Walt Disney Company (Corporate)
1550,Global Head Search and Marketing Returns Analytics,,,"Alpharetta, GA",Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,HP
1551,Technology Analyst Program - Quality Assurance Testing,,,"Alpharetta, GA",Fiserv's Technology Analyst Program is an early career development program where candidates experience two one-year assignments in a core functional technology…,"Fiserv, Inc."
1552,Research Assistant/Data Analyst,$26 - $50 an hour,,"Santa Monica, CA","Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. ONLY SERIOUS INQUIRIES WITH EXPERIENCE.",Institute of Neuro Innovation
1553,Data QA Analyst,,,"Whippany, NJ",Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,GalaxE.Solutions
1554,Senior Manager Data Science,,,"Portland, OR",Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,Adidas
1555,Senior Statistical Programmer (Sr. Associate),"$70,700 - $117,900 a year",,"Collegeville, PA",Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,Pfizer
1556,Healthcare Analyst/Statistical Programmer,"$90,000 - $130,000 a year",,Remote,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Institute for Accountable Care
1557,Principal Data Scientist (open to remote),,,"Richmond, VA","A low-ego, respectful, data science team committed to solving practical problems together. To use distributed computing systems like Spark and Snowflake to…",Mission Lane
1558,Director of Data & Analytics,,,Remote +1 location,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Owlet Baby Care
1559,Jr. Data Scientist,,,"Columbus, OH","Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…",Abercrombie and Fitch Co.
1560,Staff Data Scientist,,,"Seattle, WA",Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,The Walt Disney Company (Corporate)
1561,Global Head Search and Marketing Returns Analytics,,,"Alpharetta, GA",Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,HP
1562,Technology Analyst Program - Quality Assurance Testing,,,"Alpharetta, GA",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Fiserv, Inc."
1563,Research Assistant/Data Analyst,$26 - $50 an hour,,"Santa Monica, CA","Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Institute of Neuro Innovation
1564,Data QA Analyst,,,"Whippany, NJ",Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,GalaxE.Solutions
1565,Senior Manager Data Science,,,"Portland, OR",Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,Adidas
1566,Senior Statistical Programmer (Sr. Associate),"$70,700 - $117,900 a year",,"Collegeville, PA",Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,Pfizer
1567,Healthcare Analyst/Statistical Programmer,"$90,000 - $130,000 a year",,Remote,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Institute for Accountable Care
1568,Principal Data Scientist (open to remote),,,"Richmond, VA",To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,Mission Lane
1569,Director of Data & Analytics,,,Remote +1 location,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Owlet Baby Care
1570,Jr. Data Scientist,,,"Columbus, OH","Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…",Abercrombie and Fitch Co.
1571,Staff Data Scientist,,,"Seattle, WA",Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,The Walt Disney Company (Corporate)
1572,Global Head Search and Marketing Returns Analytics,,,"Alpharetta, GA",Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,HP
1573,Technology Analyst Program - Quality Assurance Testing,,,"Alpharetta, GA",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Fiserv, Inc."
1574,Research Assistant/Data Analyst,$26 - $50 an hour,,"Santa Monica, CA","Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Institute of Neuro Innovation
1575,Data QA Analyst,,,"Whippany, NJ",Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,GalaxE.Solutions
1576,Senior Manager Data Science,,,"Portland, OR",Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,Adidas
1577,Senior Statistical Programmer (Sr. Associate),"$70,700 - $117,900 a year",,"Collegeville, PA",Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,Pfizer
1578,Healthcare Analyst/Statistical Programmer,"$90,000 - $130,000 a year",,Remote,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Institute for Accountable Care
1579,Principal Data Scientist (open to remote),,,"Richmond, VA",To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,Mission Lane
1580,Director of Data & Analytics,,,Remote +1 location,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Owlet Baby Care
1581,Jr. Data Scientist,,,"Columbus, OH","Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…",Abercrombie and Fitch Co.
1582,Staff Data Scientist,,,"Seattle, WA",Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,The Walt Disney Company (Corporate)
1583,Global Head Search and Marketing Returns Analytics,,,"Alpharetta, GA",Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,HP
1584,Technology Analyst Program - Quality Assurance Testing,,,"Alpharetta, GA",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Fiserv, Inc."
1585,Research Assistant/Data Analyst,$26 - $50 an hour,,"Santa Monica, CA","Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Institute of Neuro Innovation
1586,Data QA Analyst,,,"Whippany, NJ",Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,GalaxE.Solutions
1587,Senior Manager Data Science,,,"Portland, OR",Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,Adidas
1588,Senior Statistical Programmer (Sr. Associate),"$70,700 - $117,900 a year",,"Collegeville, PA",Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,Pfizer
1589,Healthcare Analyst/Statistical Programmer,"$90,000 - $130,000 a year",,Remote,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Institute for Accountable Care
1590,Principal Data Scientist (open to remote),,,"Richmond, VA",To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,Mission Lane
1591,Director of Data & Analytics,,,Remote +1 location,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Owlet Baby Care
1592,Jr. Data Scientist,,,"Columbus, OH","Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…",Abercrombie and Fitch Co.
1593,Staff Data Scientist,,,"Seattle, WA",Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,The Walt Disney Company (Corporate)
1594,Global Head Search and Marketing Returns Analytics,,,"Alpharetta, GA",Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,HP
1595,Technology Analyst Program - Quality Assurance Testing,,,"Alpharetta, GA",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Fiserv, Inc."
1596,Research Assistant/Data Analyst,$26 - $50 an hour,,"Santa Monica, CA","Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Institute of Neuro Innovation
1597,Data QA Analyst,,,"Whippany, NJ",Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,GalaxE.Solutions
1598,Senior Manager Data Science,,,"Portland, OR",Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,Adidas
1599,Senior Statistical Programmer (Sr. Associate),"$70,700 - $117,900 a year",,"Collegeville, PA",Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,Pfizer
1600,Healthcare Analyst/Statistical Programmer,"$90,000 - $130,000 a year",,Remote,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Institute for Accountable Care
1601,Principal Data Scientist (open to remote),,,"Richmond, VA",To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,Mission Lane
1602,Director of Data & Analytics,,,Remote +1 location,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Owlet Baby Care
1603,Jr. Data Scientist,,,"Columbus, OH","Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…",Abercrombie and Fitch Co.
1604,Staff Data Scientist,,,"Seattle, WA",Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,The Walt Disney Company (Corporate)
1605,Global Head Search and Marketing Returns Analytics,,,"Alpharetta, GA",Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,HP
1606,Technology Analyst Program - Quality Assurance Testing,,,"Alpharetta, GA",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Fiserv, Inc."
1607,Research Assistant/Data Analyst,$26 - $50 an hour,,"Santa Monica, CA","Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.",Institute of Neuro Innovation
1608,Data QA Analyst,,,"Whippany, NJ",Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,GalaxE.Solutions
1609,Senior Manager Data Science,,,"Portland, OR",Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,Adidas
1610,Senior Statistical Programmer (Sr. Associate),"$70,700 - $117,900 a year",,"Collegeville, PA",Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,Pfizer
1611,Healthcare Analyst/Statistical Programmer,"$90,000 - $130,000 a year",,Remote,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Institute for Accountable Care
1612,Principal Data Scientist (open to remote),,,"Richmond, VA",To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,Mission Lane
1613,Director of Data & Analytics,,,Remote +1 location,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Owlet Baby Care
1614,Jr. Data Scientist,,,"Columbus, OH","Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…",Abercrombie and Fitch Co.
